run,muinit,sigmainit,tau0,phibeta,kpmax,kpmin,kL,k_near,k_far,t_end_days,nframes,peak_slip_m,dc,peak_over_dc,r_dc_km,lambda,lam_over_obs,perm_file
632556,0.37,30.0,11.1,1.000e-10,2e-11,4e-13,1e-5,1.100e-12,4.000e-13,17.200,197,1.6938e-06,0.0001,0.017,0.0000,,,perm_taiyi_601_ds20.txt
632603,0.42,27.99,11.756,1.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,87,1.4917e-06,0.0001,0.015,0.0000,,,perm_taiyi_601_ds20.txt
632604,0.37,26.0,9.62,1.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,92,1.4459e-06,0.0001,0.014,0.0000,,,perm_taiyi_601_ds20.txt
632586,0.46,27.99,12.875,2.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,80,1.2446e-06,0.0001,0.012,0.0000,,,perm_taiyi_601_ds20.txt
632574,0.42,27.99,11.756,2.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,95,1.2258e-06,0.0001,0.012,0.0000,,,perm_taiyi_601_ds20.txt
632565,0.37,27.99,10.356,5.000e-11,2e-11,4e-13,1e-4,1.100e-12,4.000e-13,8.000,97,1.0809e-06,0.0001,0.011,0.0000,,,perm_taiyi_601_ds20.txt
632600,0.37,27.99,10.356,1.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,96,1.0560e-06,0.0001,0.011,0.0000,,,perm_taiyi_601_ds20.txt
632602,0.37,27.99,10.356,1.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,96,1.0560e-06,0.0001,0.011,0.0000,,,perm_taiyi_601_ds20.txt
632616,0.37,27.99,10.356,1.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,96,1.0560e-06,0.0001,0.011,0.0000,,,perm_taiyi_601_ds20.txt
632590,0.46,27.99,12.875,5.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,80,1.0526e-06,0.0001,0.011,0.0000,,,perm_taiyi_601_ds20.txt
632594,0.46,27.99,12.875,1.000e-10,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,80,9.0484e-07,0.0001,0.009,0.0000,,,perm_taiyi_601_ds20.txt
632578,0.42,27.99,11.756,5.000e-11,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,8.000,92,8.7142e-07,0.0001,0.009,0.0000,,,perm_taiyi_601_ds20.txt
632567,0.37,27.99,10.356,5.000e-11,1e-10,4e-13,1e-4,1.100e-12,4.000e-13,8.000,93,7.6879e-07,0.0001,0.008,0.0000,,,perm_taiyi_601_ds20.txt
632558,0.37,27.99,10.356,1.000e-10,1e-10,4e-13,1e-5,1.100e-12,4.000e-13,17.200,188,6.8775e-07,0.0001,0.007,0.0000,,,perm_taiyi_601_ds20.txt
